Name,Current_Location,Age,Past_Travel_Destinations,Number_of_Trips,Flight_Number,Departure_City,Arrival_City,Flight_Date
Ronald Carlson,Kansas City,25,"Sacramento, Miami, Atlanta, Sacramento, Nashville",5,X9855,Kansas City,Sacramento,26/10/2022
,,,,,A7503,Kansas City,Miami,20/04/2024
,,,,,N5321,Kansas City,Atlanta,28/03/2023
,,,,,C1326,Kansas City,Sacramento,02/10/2023
,,,,,Z1071,Kansas City,Nashville,03/08/2024
Brent Carter,Porto,74,Lyon,1,M6541,Porto,Lyon,30/03/2024
Jonathan Browning,Minneapolis,60,"Newport, Portland, Las Vegas, Los Angeles",4,P6339,Minneapolis,Newport,05/12/2022
,,,,,S8782,Minneapolis,Portland,12/01/2024
,,,,,A6688,Minneapolis,Las Vegas,03/05/2023
,,,,,G3376,Minneapolis,Los Angeles,09/04/2023
Jason Montgomery,Stockholm,60,"Honolulu, Tallinn, Munich",3,Y9288,Stockholm,Honolulu,01/09/2022
,,,,,U7865,Stockholm,Tallinn,25/01/2023
,,,,,V4295,Stockholm,Munich,06/11/2023
Dalton Martinez,Miami,55,"Cincinnati, New Orleans, Providence",3,Q1855,Miami,Cincinnati,20/10/2023
,,,,,X7889,Miami,New Orleans,09/04/2024
,,,,,B7825,Miami,Providence,10/08/2024
Katrina Garcia,Sacramento,25,Seattle,1,F8167,Sacramento,Seattle,06/10/2022
Kirk Hickman,Paris,74,"Berlin, Warsaw, Vienna",3,U2775,Paris,Berlin,21/01/2024
,,,,,N6934,Paris,Warsaw,30/07/2024
,,,,,D2549,Paris,Vienna,01/02/2024
Bradley Davidson,Bologna,66,"Paris, Athens, Seville, Florence, Munich",5,K1337,Bologna,Paris,07/11/2023
,,,,,J4437,Bologna,Athens,05/01/2024
,,,,,L9405,Bologna,Seville,29/08/2022
,,,,,N5185,Bologna,Florence,17/06/2023
,,,,,V8094,Bologna,Munich,20/11/2022
Crystal Berry,Prague,64,Istanbul,1,G5697,Prague,Istanbul,18/04/2023
Jennifer Haley,Nice,35,"Madrid, Vienna, Marseille, Brussels, St. Petersburg",5,Z1643,Nice,Madrid,20/04/2023
,,,,,R5199,Nice,Vienna,29/10/2023
,,,,,G6862,Nice,Marseille,17/04/2023
,,,,,H4812,Nice,Brussels,20/12/2023
,,,,,G9401,Nice,St. Petersburg,08/01/2024
Anthony Fields,Salt Lake City,40,"Nashville, Miami, Washington, St. Louis",4,U8441,Salt Lake City,Nashville,06/06/2024
,,,,,S7442,Salt Lake City,Miami,20/12/2022
,,,,,J9313,Salt Lake City,Washington,01/06/2024
,,,,,L6935,Salt Lake City,St. Louis,02/10/2023
Angie Rivas,Edinburgh,24,"Gothenburg, Reykjavik, Milan",3,M4956,Edinburgh,Gothenburg,24/10/2022
,,,,,G2887,Edinburgh,Reykjavik,25/11/2022
,,,,,W5258,Edinburgh,Milan,09/04/2023
Sydney Davidson,Gothenburg,66,"London, Ljubljana",2,X4398,Gothenburg,London,07/07/2023
,,,,,B6928,Gothenburg,Ljubljana,07/08/2024
Caleb Webb,Brussels,18,"Munich, Copenhagen, Edinburgh",3,W9855,Brussels,Munich,31/10/2023
,,,,,A7715,Brussels,Copenhagen,12/11/2023
,,,,,K4367,Brussels,Edinburgh,18/12/2022
Courtney Hill,Jacksonville,72,Orlando,1,D1489,Jacksonville,Orlando,27/05/2023
Angela Adams,Richmond,38,Krakow,1,R1975,Richmond,Krakow,16/03/2023
Robert Calderon,New York,47,"Honolulu, Atlanta, Savannah, New York",4,V7331,New York,Honolulu,07/01/2024
,,,,,H6568,New York,Atlanta,04/02/2024
,,,,,H8842,New York,Savannah,28/02/2024
,,,,,I3651,New York,New York,18/08/2024
Melissa Phillips,Amsterdam,55,"Philadelphia, Bologna, Seville",3,G4838,Amsterdam,Philadelphia,08/01/2024
,,,,,H2949,Amsterdam,Bologna,08/09/2022
,,,,,R3233,Amsterdam,Seville,05/09/2022
Paul Cortez,Denver,53,"San Diego, Austin",2,O6876,Denver,San Diego,15/04/2023
,,,,,S2097,Denver,Austin,01/02/2024
Amanda Dixon,Indianapolis,33,"Sedona, Florence",2,K6963,Indianapolis,Sedona,16/06/2023
,,,,,W6165,Indianapolis,Florence,26/08/2023
David Davis,Washington,65,"Dallas, Chicago, Boston, Providence, Austin",5,E3741,Washington,Dallas,04/10/2023
,,,,,F4003,Washington,Chicago,22/02/2023
,,,,,G2322,Washington,Boston,30/10/2022
,,,,,C3448,Washington,Providence,18/11/2022
,,,,,B6532,Washington,Austin,22/07/2023
Joseph Davis,Washington,74,"Salt Lake City, Fort Lauderdale, Providence, Los Angeles, Portland",5,A1852,Washington,Salt Lake City,19/03/2024
,,,,,G1448,Washington,Fort Lauderdale,04/07/2023
,,,,,O1348,Washington,Providence,16/04/2024
,,,,,A5282,Washington,Los Angeles,27/10/2023
,,,,,Q9605,Washington,Portland,05/03/2024
William Parker,Phoenix,34,"Charleston, New York, Key West, Boston",4,J6533,Phoenix,Charleston,21/08/2023
,,,,,H6596,Phoenix,New York,30/04/2023
,,,,,J3715,Phoenix,Key West,08/10/2023
,,,,,Z7785,Phoenix,Boston,02/02/2024
Jeffrey Rangel,Savannah,73,"Savannah, Honolulu, Minneapolis, Savannah, Houston",5,V4208,Savannah,Savannah,22/02/2024
,,,,,P7373,Savannah,Honolulu,31/10/2023
,,,,,O1442,Savannah,Minneapolis,09/05/2023
,,,,,X2633,Savannah,Savannah,23/08/2023
,,,,,N2844,Savannah,Houston,15/01/2023
Kathy Garcia,Gothenburg,23,"Tallinn, Madrid",2,W5925,Gothenburg,Tallinn,12/02/2023
,,,,,B4061,Gothenburg,Madrid,15/02/2024
Kristina Richards,Reykjavik,54,Dubrovnik,1,P1975,Reykjavik,Dubrovnik,07/11/2023
Mark Johnson,Krakow,31,"Istanbul, Florence, Stockholm",3,P3414,Krakow,Istanbul,25/11/2022
,,,,,J5702,Krakow,Florence,06/01/2023
,,,,,Y6993,Krakow,Stockholm,08/04/2023
Reginald White,Houston,40,"Miami, Providence, New York, Kansas City",4,K1069,Houston,Miami,07/05/2024
,,,,,Q5167,Houston,Providence,28/05/2023
,,,,,I9674,Houston,New York,25/10/2022
,,,,,C3844,Houston,Kansas City,22/07/2023
Robert Flynn,Boston,20,"Salt Lake City, Scottsdale, San Diego",3,A4252,Boston,Salt Lake City,13/04/2023
,,,,,I6328,Boston,Scottsdale,04/02/2023
,,,,,U6705,Boston,San Diego,29/10/2022
Kevin Cooper,Athens,56,"Istanbul, Florence",2,W8899,Athens,Istanbul,17/11/2022
,,,,,Z1030,Athens,Florence,24/08/2024
Amanda Davis,Berlin,63,"Naples, Athens, Bordeaux",3,E5933,Berlin,Naples,30/10/2022
,,,,,O7399,Berlin,Athens,17/01/2024
,,,,,O4740,Berlin,Bordeaux,09/02/2024
Kristin Mitchell,Dallas,68,"Philadelphia, Marseille, Minneapolis, Miami",4,M8058,Dallas,Philadelphia,02/09/2022
,,,,,K2493,Dallas,Marseille,20/04/2024
,,,,,W6066,Dallas,Minneapolis,03/09/2022
,,,,,R2931,Dallas,Miami,30/09/2022
Daniel Cooper,Stockholm,38,Krakow,1,P1999,Stockholm,Krakow,27/12/2023
Jacob Harmon,Lisbon,53,"Dubrovnik, Budapest, Portland, Pittsburgh",4,I1794,Lisbon,Dubrovnik,08/04/2024
,,,,,D5927,Lisbon,Budapest,25/05/2024
,,,,,X7358,Lisbon,Portland,10/12/2022
,,,,,I2580,Lisbon,Pittsburgh,03/02/2023
Matthew Faulkner,Jacksonville,44,Sedona,1,L2663,Jacksonville,Sedona,22/05/2024
James Ponce,Lisbon,31,Boston,1,X7499,Lisbon,Boston,12/05/2024
Lauren Martin,San Francisco,42,"Boston, Orlando, Dallas, Jacksonville, Houston",5,O5886,San Francisco,Boston,08/10/2023
,,,,,R6590,San Francisco,Orlando,02/08/2024
,,,,,Y2411,San Francisco,Dallas,31/01/2023
,,,,,N9353,San Francisco,Jacksonville,08/02/2024
,,,,,O7026,San Francisco,Houston,21/05/2023
Richard Jordan,Miami,47,"Jacksonville, St. Louis, Tampa, Newport, Denver",5,M5640,Miami,Jacksonville,12/07/2023
,,,,,B2374,Miami,St. Louis,02/09/2023
,,,,,U5486,Miami,Tampa,12/03/2023
,,,,,X8924,Miami,Newport,26/11/2023
,,,,,L9401,Miami,Denver,23/06/2023
Stacey Silva,Sedona,19,"Minneapolis, Portland",2,F5798,Sedona,Minneapolis,10/09/2023
,,,,,F7414,Sedona,Portland,19/04/2023
Drew Smith,Houston,33,"Austin, Boston",2,C6391,Houston,Austin,26/08/2023
,,,,,N6465,Houston,Boston,13/07/2023
Susan Ross,Austin,23,Milwaukee,1,E2086,Austin,Milwaukee,24/03/2023
Amy Thomas,Jacksonville,59,Tampa,1,A7993,Jacksonville,Tampa,09/06/2024
Melissa Lopez,Las Vegas,32,Tampa,1,V3708,Las Vegas,Tampa,04/08/2023
Mark Costa,Oklahoma City,50,"Kansas City, Oklahoma City, Tampa",3,E1185,Oklahoma City,Kansas City,16/06/2024
,,,,,B7049,Oklahoma City,Oklahoma City,21/12/2022
,,,,,S4116,Oklahoma City,Tampa,11/08/2024
Matthew Clark,Paris,71,"Dublin, Dubrovnik, Athens, Moscow",4,N5616,Paris,Dublin,25/11/2023
,,,,,H8466,Paris,Dubrovnik,08/12/2022
,,,,,V3061,Paris,Athens,16/08/2023
,,,,,W4524,Paris,Moscow,04/02/2023
Katherine Marshall,St. Louis,69,"Sedona, Washington",2,Z5400,St. Louis,Sedona,21/07/2024
,,,,,M1275,St. Louis,Washington,09/05/2024
Mary Morris,Prague,31,"Stockholm, Lyon, Bergen, Florence, Prague",5,F7957,Prague,Stockholm,16/02/2023
,,,,,S9467,Prague,Lyon,29/09/2023
,,,,,P3743,Prague,Bergen,30/03/2023
,,,,,I8268,Prague,Florence,28/02/2024
,,,,,E1498,Prague,Prague,12/08/2024
Ralph Nelson,Nashville,68,"Denver, New Orleans, Helsinki",3,K5511,Nashville,Denver,01/10/2023
,,,,,Q7685,Nashville,New Orleans,26/09/2022
,,,,,C7627,Nashville,Helsinki,04/10/2022
Lisa Montgomery,Copenhagen,62,"Bordeaux, Bordeaux, Moscow, Madrid, Ljubljana",5,W4685,Copenhagen,Bordeaux,24/12/2023
,,,,,Y2698,Copenhagen,Bordeaux,24/02/2023
,,,,,Q9498,Copenhagen,Moscow,04/01/2023
,,,,,S9580,Copenhagen,Madrid,12/07/2023
,,,,,Y1192,Copenhagen,Ljubljana,25/11/2022
Laurie Chavez,Edinburgh,34,"Bologna, Copenhagen, Bergen, Valencia, Lisbon",5,W4586,Edinburgh,Bologna,03/06/2023
,,,,,D8598,Edinburgh,Copenhagen,13/12/2022
,,,,,B2052,Edinburgh,Bergen,20/12/2022
,,,,,E7178,Edinburgh,Valencia,05/01/2024
,,,,,P2050,Edinburgh,Lisbon,27/08/2022
Eric Flores,Providence,64,Atlanta,1,Y6112,Providence,Atlanta,21/01/2023
Matthew Smith,Geneva,60,Venice,1,B5216,Geneva,Venice,14/07/2023
Justin Barnett,Milwaukee,43,"Jacksonville, Las Vegas, Austin",3,V9102,Milwaukee,Jacksonville,16/03/2024
,,,,,O2144,Milwaukee,Las Vegas,31/08/2022
,,,,,A7581,Milwaukee,Austin,18/06/2023
Elizabeth Hall,Nice,19,"Warsaw, Venice",2,W7762,Nice,Warsaw,27/08/2022
,,,,,J7431,Nice,Venice,11/02/2024
Austin Adams,Seattle,23,Los Angeles,1,N4041,Seattle,Los Angeles,20/01/2023
Robert Hanna,London,54,"Athens, Naples, Dublin",3,E6730,London,Athens,26/04/2024
,,,,,Z8967,London,Naples,29/11/2023
,,,,,O3927,London,Dublin,02/06/2023
Robert Foster,Geneva,37,Nice,1,X8476,Geneva,Nice,23/03/2024
Elizabeth Smith,Budapest,42,Berlin,1,K6000,Budapest,Berlin,26/09/2023
Chloe Smith,Miami,18,"Las Vegas, Pittsburgh, New Orleans, Cincinnati",4,A6146,Miami,Las Vegas,10/08/2023
,,,,,S6130,Miami,Pittsburgh,11/11/2023
,,,,,E1114,Miami,New Orleans,07/03/2023
,,,,,J7039,Miami,Cincinnati,25/12/2022
Donald Porter,Milan,61,"Helsinki, Florence, Milan",3,O2611,Milan,Helsinki,05/03/2023
,,,,,G2280,Milan,Florence,21/10/2023
,,,,,N3614,Milan,Milan,17/01/2024
Ashley Bailey,Indianapolis,47,"Dallas, Denver",2,R6339,Indianapolis,Dallas,03/01/2024
,,,,,I8693,Indianapolis,Denver,16/10/2022
Theresa Patterson,Baltimore,19,"Honolulu, Orlando, St. Louis, Las Vegas",4,C1911,Baltimore,Honolulu,04/05/2024
,,,,,L8523,Baltimore,Orlando,05/08/2024
,,,,,T2368,Baltimore,St. Louis,07/12/2022
,,,,,R2600,Baltimore,Las Vegas,18/04/2023
Elizabeth Hill,Gothenburg,72,"Lyon, Reykjavik, Stockholm",3,K4564,Gothenburg,Lyon,06/11/2022
,,,,,K4317,Gothenburg,Reykjavik,20/04/2024
,,,,,R6129,Gothenburg,Stockholm,27/01/2023
Mark Delgado,Krakow,22,"Barcelona, Stockholm, Krakow, Nice, Valencia",5,J2478,Krakow,Barcelona,20/04/2024
,,,,,D7206,Krakow,Stockholm,10/06/2024
,,,,,G8174,Krakow,Krakow,08/06/2023
,,,,,O3692,Krakow,Nice,08/07/2024
,,,,,O5187,Krakow,Valencia,09/04/2024
Ralph Contreras,Sedona,66,"Baltimore, Austin, Providence, Key West, Washington",5,G2392,Sedona,Baltimore,16/04/2023
,,,,,T9102,Sedona,Austin,04/04/2023
,,,,,Y9674,Sedona,Providence,18/02/2024
,,,,,G7061,Sedona,Key West,16/06/2024
,,,,,J7685,Sedona,Washington,23/05/2024
Lauren Garza,Tallinn,38,Zurich,1,D4207,Tallinn,Zurich,22/03/2024
Donald Fisher,Savannah,50,"Tampa, Sedona, Nashville, Portland",4,C4460,Savannah,Tampa,15/12/2022
,,,,,H7655,Savannah,Sedona,21/08/2023
,,,,,L6184,Savannah,Nashville,04/09/2022
,,,,,C6543,Savannah,Portland,17/09/2023
John Clark,Oslo,45,"Bratislava, London, Nice, Stockholm",4,H1207,Oslo,Bratislava,08/10/2023
,,,,,I8697,Oslo,London,04/04/2023
,,,,,A7766,Oslo,Nice,26/07/2023
,,,,,B1143,Oslo,Stockholm,14/04/2024
Brian Burke,Richmond,25,"Cincinnati, Nashville, Boston, Sacramento, Atlanta",5,T3227,Richmond,Cincinnati,05/06/2024
,,,,,P3097,Richmond,Nashville,12/06/2023
,,,,,H1462,Richmond,Boston,28/01/2024
,,,,,C3606,Richmond,Sacramento,19/06/2024
,,,,,Z7625,Richmond,Atlanta,24/04/2023
Brittany Wood,Indianapolis,41,"San Diego, San Francisco",2,B7103,Indianapolis,San Diego,03/11/2023
,,,,,U7514,Indianapolis,San Francisco,08/03/2024
John Hanson,Lyon,65,"Valencia, Naples, Athens, Tallinn",4,M6445,Lyon,Valencia,15/02/2023
,,,,,O5333,Lyon,Naples,18/07/2024
,,,,,L6395,Lyon,Athens,04/02/2024
,,,,,G8167,Lyon,Tallinn,20/04/2024
Bobby Ortiz,Boston,25,"Indianapolis, Milwaukee, Cincinnati, Portland, Charlotte",5,V3201,Boston,Indianapolis,29/01/2023
,,,,,D9538,Boston,Milwaukee,06/10/2023
,,,,,Y7194,Boston,Cincinnati,21/07/2023
,,,,,D7125,Boston,Portland,13/08/2024
,,,,,U5030,Boston,Charlotte,22/07/2023
Nicole Carney,Edinburgh,65,"Geneva, Seville, Key West, Moscow",4,A8577,Edinburgh,Geneva,07/02/2024
,,,,,F1031,Edinburgh,Seville,02/06/2024
,,,,,L4723,Edinburgh,Key West,06/10/2022
,,,,,J2742,Edinburgh,Moscow,19/06/2023
Mrs. Donna Williams MD,Baltimore,34,"Jacksonville, Cincinnati, Savannah, Boston, Jacksonville",5,F2337,Baltimore,Jacksonville,09/08/2024
,,,,,T5035,Baltimore,Cincinnati,19/03/2024
,,,,,Q7625,Baltimore,Savannah,17/12/2023
,,,,,N4535,Baltimore,Boston,16/10/2023
,,,,,Y7822,Baltimore,Jacksonville,14/10/2023
Darlene Alexander,Milan,75,"Rome, Marseille, Baltimore, Luxembourg, Budapest",5,A9090,Milan,Rome,05/03/2024
,,,,,C5563,Milan,Marseille,25/04/2024
,,,,,D7432,Milan,Baltimore,04/08/2023
,,,,,S8040,Milan,Luxembourg,18/05/2024
,,,,,P4389,Milan,Budapest,08/01/2023
Mario Cooper,Tallinn,22,Prague,1,D6488,Tallinn,Prague,18/01/2023
Audrey Pittman,Budapest,62,"Paris, Copenhagen, Barcelona, Gothenburg, Bordeaux",5,S9947,Budapest,Paris,02/01/2023
,,,,,L7567,Budapest,Copenhagen,14/11/2022
,,,,,Q1451,Budapest,Barcelona,26/12/2023
,,,,,G8623,Budapest,Gothenburg,24/10/2023
,,,,,J8001,Budapest,Bordeaux,16/09/2022
Rebecca Bonilla,Zurich,53,"Seville, Moscow",2,L2983,Zurich,Seville,26/03/2023
,,,,,L4597,Zurich,Moscow,04/02/2024
Rachel Shepard,Miami,18,Providence,1,J9228,Miami,Providence,13/11/2022
Rachel Evans,Indianapolis,46,Austin,1,A1283,Indianapolis,Austin,21/03/2024
Kimberly Hamilton,Dubrovnik,32,"Salzburg, Milan, Copenhagen",3,J2640,Dubrovnik,Salzburg,04/10/2023
,,,,,X1455,Dubrovnik,Milan,04/12/2022
,,,,,X4360,Dubrovnik,Copenhagen,15/05/2023
Deborah Stevens,Cologne,43,"Dublin, Edinburgh, Stockholm",3,D9944,Cologne,Dublin,24/03/2023
,,,,,G7218,Cologne,Edinburgh,03/08/2024
,,,,,G5807,Cologne,Stockholm,23/12/2022
Debra Diaz,Bergen,65,"Geneva, Paris, Venice",3,B4450,Bergen,Geneva,20/03/2023
,,,,,X8104,Bergen,Paris,21/10/2022
,,,,,R6331,Bergen,Venice,31/08/2022
Jane Martin,Dallas,25,"Orlando, Santa Fe",2,G6316,Dallas,Orlando,24/08/2024
,,,,,G6397,Dallas,Santa Fe,07/09/2023
Amy Page,San Jose,51,"Orlando, San Antonio, Fort Lauderdale, Houston",4,M5280,San Jose,Orlando,17/02/2023
,,,,,L9786,San Jose,San Antonio,12/06/2024
,,,,,W9357,San Jose,Fort Lauderdale,17/09/2023
,,,,,P9057,San Jose,Houston,14/04/2024
Lisa Newman,Chicago,24,"Richmond, Fort Lauderdale, St. Louis, New York, Newport",5,O6892,Chicago,Richmond,17/10/2023
,,,,,X2038,Chicago,Fort Lauderdale,08/07/2023
,,,,,W9722,Chicago,St. Louis,29/07/2024
,,,,,R6515,Chicago,New York,02/11/2023
,,,,,X6432,Chicago,Newport,16/12/2022
Charlene Black,Charleston,32,Houston,1,W3633,Charleston,Houston,29/08/2022
Elizabeth Perez,Oslo,63,"Ljubljana, Bordeaux",2,R9745,Oslo,Ljubljana,12/09/2023
,,,,,H8764,Oslo,Bordeaux,17/04/2024
Joseph Hooper DVM,Phoenix,64,"Budapest, St. Louis",2,Y5364,Phoenix,Budapest,27/05/2024
,,,,,O5368,Phoenix,St. Louis,23/12/2023
Joseph Ramos,Los Angeles,22,"Dallas, Charleston, Jacksonville, Nashville, Houston",5,C4881,Los Angeles,Dallas,01/03/2023
,,,,,I9332,Los Angeles,Charleston,18/07/2024
,,,,,L5299,Los Angeles,Jacksonville,21/10/2023
,,,,,D3055,Los Angeles,Nashville,25/08/2023
,,,,,F7066,Los Angeles,Houston,20/05/2023
Brian Blake,Seville,46,"Bergen, St. Petersburg, Seville, Geneva",4,I6509,Seville,Bergen,03/10/2023
,,,,,E6868,Seville,St. Petersburg,07/11/2023
,,,,,O3654,Seville,Seville,19/04/2024
,,,,,O6209,Seville,Geneva,03/11/2023
James Nunez,New York,40,"Indianapolis, San Diego, Las Vegas",3,F1458,New York,Indianapolis,15/01/2023
,,,,,J9851,New York,San Diego,27/04/2023
,,,,,I6127,New York,Las Vegas,24/02/2024
Tracey Schultz,Florence,47,"Naples, Bratislava",2,I7553,Florence,Naples,15/03/2024
,,,,,X3116,Florence,Bratislava,06/05/2023
Bobby Griffith,Los Angeles,53,Denver,1,P9148,Los Angeles,Denver,16/12/2022
Mark King,Bologna,61,"Munich, Bergen, Cologne, Barcelona",4,L4236,Bologna,Munich,30/06/2024
,,,,,U1402,Bologna,Bergen,02/06/2024
,,,,,F5418,Bologna,Cologne,20/11/2023
,,,,,K4294,Bologna,Barcelona,13/07/2023
Lisa Love,Seville,62,"Gothenburg, Paris, Berlin, Istanbul",4,M4055,Seville,Gothenburg,03/07/2024
,,,,,B8201,Seville,Paris,30/08/2023
,,,,,D8283,Seville,Berlin,12/10/2022
,,,,,L3552,Seville,Istanbul,25/12/2022
Jamie Perry,New Orleans,39,"St. Louis, Fort Lauderdale",2,R6192,New Orleans,St. Louis,23/04/2023
,,,,,K4561,New Orleans,Fort Lauderdale,15/02/2024
Darlene Yates,Lisbon,22,"Oslo, Bergen, Nice",3,P5730,Lisbon,Oslo,12/11/2022
,,,,,N4661,Lisbon,Bergen,08/11/2023
,,,,,J4950,Lisbon,Nice,17/11/2023
David Frazier,San Antonio,56,"Indianapolis, Pittsburgh, Pittsburgh, Indianapolis, Newport",5,X6423,San Antonio,Indianapolis,30/05/2024
,,,,,V6275,San Antonio,Pittsburgh,09/10/2022
,,,,,P1570,San Antonio,Pittsburgh,14/02/2023
,,,,,G9036,San Antonio,Indianapolis,12/05/2023
,,,,,F9763,San Antonio,Newport,01/05/2024
Summer Brown,Paris,58,"Minneapolis, Copenhagen, Stockholm",3,P2817,Paris,Minneapolis,18/08/2024
,,,,,X9445,Paris,Copenhagen,11/04/2023
,,,,,N9689,Paris,Stockholm,09/09/2023
Kimberly Mcclain,Paris,63,"Florence, Stockholm, Geneva, London",4,L3477,Paris,Florence,22/12/2022
,,,,,S4210,Paris,Stockholm,09/07/2023
,,,,,P6119,Paris,Geneva,11/10/2023
,,,,,Z6324,Paris,London,15/02/2023
John Murphy,Lyon,61,"Copenhagen, Copenhagen, Prague",3,V6442,Lyon,Copenhagen,29/04/2024
,,,,,L9521,Lyon,Copenhagen,31/12/2022
,,,,,T2986,Lyon,Prague,16/09/2023
Corey Lane,Chicago,21,"Florence, Key West",2,G2430,Chicago,Florence,01/01/2024
,,,,,C6509,Chicago,Key West,09/08/2023
Sheila Parks,Warsaw,69,"Venice, Kansas City, Helsinki, Tallinn, Naples",5,Z6226,Warsaw,Venice,10/05/2023
,,,,,M8507,Warsaw,Kansas City,21/07/2023
,,,,,S7886,Warsaw,Helsinki,09/10/2022
,,,,,I9472,Warsaw,Tallinn,03/06/2023
,,,,,K9889,Warsaw,Naples,12/12/2022
Lynn Rodriguez,Salzburg,20,"Valencia, Seville",2,E6026,Salzburg,Valencia,10/08/2024
,,,,,S4366,Salzburg,Seville,31/05/2023
Wanda Weaver,Reykjavik,75,"Bordeaux, Brussels, Munich",3,Y7184,Reykjavik,Bordeaux,30/05/2023
,,,,,I3780,Reykjavik,Brussels,10/08/2023
,,,,,S5415,Reykjavik,Munich,26/02/2023
Derek Grant,Munich,58,"Reykjavik, Vienna, Venice, Bologna",4,E6970,Munich,Reykjavik,27/03/2024
,,,,,M1544,Munich,Vienna,21/02/2023
,,,,,V7325,Munich,Venice,28/01/2023
,,,,,K2695,Munich,Bologna,27/07/2024
Whitney Wheeler,Cincinnati,18,"Honolulu, Seattle, Milwaukee",3,N2259,Cincinnati,Honolulu,03/03/2023
,,,,,L6347,Cincinnati,Seattle,25/01/2024
,,,,,D1957,Cincinnati,Milwaukee,05/05/2023
Donna Garrett,Minneapolis,18,"Richmond, Savannah",2,I3813,Minneapolis,Richmond,29/06/2024
,,,,,X3096,Minneapolis,Savannah,25/01/2023
Bobby Weber,Denver,64,"Austin, Orlando, Scottsdale, Nashville, Austin",5,M2511,Denver,Austin,25/11/2023
,,,,,X4585,Denver,Orlando,07/10/2022
,,,,,A7919,Denver,Scottsdale,14/06/2024
,,,,,E3908,Denver,Nashville,08/04/2024
,,,,,Q8403,Denver,Austin,24/04/2023
Haley Mendoza,Charleston,41,"New York, Dallas, Baltimore",3,B7323,Charleston,New York,31/05/2024
,,,,,J1448,Charleston,Dallas,31/07/2024
,,,,,E1445,Charleston,Baltimore,08/04/2023
Samantha Bailey,Las Vegas,53,"Miami, Sacramento, Las Vegas, Newport, Milwaukee",5,M8543,Las Vegas,Miami,13/04/2024
,,,,,H4025,Las Vegas,Sacramento,22/12/2023
,,,,,G7156,Las Vegas,Las Vegas,20/08/2023
,,,,,P6549,Las Vegas,Newport,05/11/2022
,,,,,W1146,Las Vegas,Milwaukee,30/04/2023
Angela Mercer MD,Sacramento,25,"Philadelphia, San Diego, San Antonio, Miami, Fort Lauderdale",5,K1514,Sacramento,Philadelphia,09/06/2023
,,,,,P3421,Sacramento,San Diego,29/08/2022
,,,,,T3731,Sacramento,San Antonio,19/12/2022
,,,,,T9485,Sacramento,Miami,15/11/2022
,,,,,T5303,Sacramento,Fort Lauderdale,16/07/2023
George Gregory,Naples,59,"Warsaw, Bratislava, Oslo, Valencia",4,E3681,Naples,Warsaw,09/07/2023
,,,,,E2991,Naples,Bratislava,04/01/2023
,,,,,A1849,Naples,Oslo,30/04/2023
,,,,,V4277,Naples,Valencia,25/09/2022
Patricia Obrien,Fort Lauderdale,35,"Chicago, Vienna, Scottsdale",3,O8453,Fort Lauderdale,Chicago,15/05/2023
,,,,,K9267,Fort Lauderdale,Vienna,09/04/2024
,,,,,H3230,Fort Lauderdale,Scottsdale,01/05/2024
Nicole Smith,Gothenburg,45,"Naples, Zurich, Bratislava, Warsaw, Venice",5,P6911,Gothenburg,Naples,21/03/2023
,,,,,U4349,Gothenburg,Zurich,03/03/2024
,,,,,E6650,Gothenburg,Bratislava,19/04/2023
,,,,,F1764,Gothenburg,Warsaw,24/06/2024
,,,,,V5137,Gothenburg,Venice,28/09/2023
Dominic Patton,Oslo,60,Budapest,1,K9678,Oslo,Budapest,26/07/2023
Jeffrey Santiago,Reykjavik,59,Vienna,1,J3929,Reykjavik,Vienna,29/02/2024
Jennifer Morris,Valencia,46,"Stockholm, Cologne, Moscow, Zurich, Malaga",5,M1809,Valencia,Stockholm,24/09/2022
,,,,,P9679,Valencia,Cologne,08/02/2024
,,,,,U4430,Valencia,Moscow,03/07/2024
,,,,,N1083,Valencia,Zurich,28/12/2022
,,,,,H1965,Valencia,Malaga,05/10/2022
Eric Clayton,Indianapolis,59,Kansas City,1,Y3914,Indianapolis,Kansas City,23/02/2024
Courtney Elliott,Geneva,69,Dublin,1,V9193,Geneva,Dublin,28/08/2023
Noah Webster,Salzburg,48,"Edinburgh, Luxembourg, Seville",3,K3381,Salzburg,Edinburgh,23/10/2023
,,,,,B5215,Salzburg,Luxembourg,04/11/2023
,,,,,J8786,Salzburg,Seville,10/12/2023
James Rodriguez,Kansas City,69,Denver,1,O9758,Kansas City,Denver,14/07/2023
Connie Morrow,Seattle,41,"Miami, Key West, Key West, Baltimore, Fort Lauderdale",5,B8377,Seattle,Miami,31/05/2024
,,,,,R7179,Seattle,Key West,21/11/2023
,,,,,T7812,Seattle,Key West,15/06/2024
,,,,,F3878,Seattle,Baltimore,13/08/2023
,,,,,I2619,Seattle,Fort Lauderdale,21/09/2022
Dennis Oliver,London,21,"Edinburgh, Bologna, Cologne, Malaga, Malaga",5,X7281,London,Edinburgh,23/11/2023
,,,,,E3325,London,Bologna,29/03/2024
,,,,,Q3975,London,Cologne,21/12/2023
,,,,,K1967,London,Malaga,24/03/2024
,,,,,Z5641,London,Malaga,16/07/2023
Chad Bennett,Paris,72,"Brussels, Istanbul, Barcelona, Luxembourg",4,W8103,Paris,Brussels,21/08/2023
,,,,,P8126,Paris,Istanbul,15/04/2023
,,,,,S3887,Paris,Barcelona,27/10/2023
